id,name,city,state,zip,holeCount,rating,yearsEstablished,page
/course-directory/course/meadow-lake-campsite,Meadow Lake Campsite,Detroit Lakes,Minnesota,56501,9,,,78
/course-directory/course/littlefoot,Littlefoot Disc Golf Course,Sandpoint,Idaho,83864,9,,,78
/course-directory/course/scott-community-college-disc-golf-course,Scott Community College Disc Golf Course,Riverdale,Iowa,52722,18,,,78
/course-directory/course/pomolita,Pomolita Middle School,Ukiah,California,95482,9,,,78
/course-directory/course/mulbright-pines,Mulbright Pines,Williamstown,West Virginia,26187,18,,,78
/course-directory/course/johnson-university-creekside-course,Johnson University Creekside Course,Knoxville,Tennessee,37998,9,,,78
/course-directory/course/cpg,CPG Disc Golf,Rock Hill,South Carolina,29732,4,,,78
/course-directory/course/kadena-air-base,Kadena Air Base,FPO,Armed Forces (Pacific),96370,20,,,78
/course-directory/course/armour-city-park,Armour City Park,Armour,South Dakota,57313,9,,,78
/course-directory/course/lake-poinsett-disc-golf-course,Lake Poinsett State Rec. Area Disc Golf Course,Arlington,South Dakota,57212,9,,,78
/course-directory/course/south-park-1,South Park,Platte,South Dakota,57369,9,,,78
/course-directory/course/kiwanis-disc-golf-persimmon-ridge-park,Kiwanis Disc Golf at Persimmon Ridge Park,Jonesborough,Tennessee,37659,18,3,,78
/course-directory/course/mill-creek,Mill Creek,Avoca,Michigan,48006,18,5,,78
/course-directory/course/maryville-college-woods,Maryville College Woods,Maryville,Tennessee,37804,9,,,78
/course-directory/course/walters-state-community-college,Walters State Community College,Sevierville,Tennessee,37876,9,2,,78
/course-directory/course/whitestone-country-inn-disc-golf,Whitestone Country Inn Disc Golf,Kingston,Tennessee,37763,9,3,,78
/course-directory/course/bullskae-alley-disc-golf-course,Bullsnake Alley Disc Golf Course,Casper,Wyoming,82601,18,4,,78
/course-directory/course/lander-ridge-disc-golf-course,Lander Ridge Disc Golf Course,Lander,Wyoming,82520,18,,,78
/course-directory/course/amundson-park,Amundson Park,Sparta,Wisconsin,54656,18,,,78
/course-directory/course/bald-eagle-disc-golf-course,Bald Eagle Disc Golf Course,Stockholm,Wisconsin,54769,9,,,78
/course-directory/course/big-dog-adventure-park,Camp Lakotah,Wautoma,Wisconsin,54962,9,,,78
/course-directory/course/bluebird-disc-golf-course,Bluebird Disc Golf Course,Plover,Wisconsin,54482,9,2,,78
/course-directory/course/horace-mann-middle-school,Horace Mann Middle School,Wausau,Wisconsin,54403,9,,,79
/course-directory/course/horn-park,Horn Park,Brillion,Wisconsin,54110,9,4,,79
/course-directory/course/jim-simpson-memorial-disc-golf-course,Jim Simpson Memorial Disc Golf Course,Clintonville,Wisconsin,54929,9,,,79
/course-directory/course/meadowview-intermediate-school,Meadowview Middle School,Sparta,Wisconsin,54656,9,,,79
/course-directory/course/oakwood-nature-park,Oakwood Nature Park,Fennimore,Wisconsin,54809,18,,,79
/course-directory/course/radier-disc-golf-medford-high-school,Raider Disc Golf at Medford High School,Medford,Wisconsin,54451,9,,,79
/course-directory/course/red-arrow-park-0,Red Arrow Park,Abbotsford,Wisconsin,54405,3,,,79
/course-directory/course/riverside-park-disc-golf-course-3,Riverside Park DIsc Golf Course,Taylor,Wisconsin,54659,9,,,79
/course-directory/course/rotary-club-disc-golf-st-feriole-island-park,Rotary Club Disc Golf at St. Feriole Island Park,Prairie du Chien,Wisconsin,53821,18,,,79
/course-directory/course/three-lakes-high-school,Three Lakes High School,Three Lakes,Wisconsin,54562,9,,,79
/course-directory/course/welcome-travelers-park,Welcome Travelers County Park,Whitewater,Wisconsin,53190,4,,,79
/course-directory/course/wolf-creek-disc-golf-course,Wolf Creek Disc Golf Course,Oak Hill,West Virginia,25901,9,,,79
/course-directory/course/dawson-park,Dawson Park,Cle Elum,Washington,98922,18,,,79
/course-directory/course/st-martins-abbey,St. Martin's Abbey,Lacey,Washington,98503,9,2.5,,79
/course-directory/course/stevens-pass-disc-golf-course,Stevens Pass Disc Golf Course,Skykomish,Washington,98288,18,,,79
/course-directory/course/whitworth-university-back-40,Whitworth University Back 40,Spokane,Washington,99251,9,,,79
/course-directory/course/camp-bethel,Camp Bethel,Wise,Virginia,24293,9,3,,79
/course-directory/course/moneta-park-disc-golf,Moneta Disc Golf Course,Moneta,Virginia,24121,18,,,79
/course-directory/course/university-park,University Park,Harrisonburg,Virginia,22807,9,,,79
/course-directory/course/hunter-park-1,Hunter Park,Manchester,Vermont,05255,18,3,,79
/course-directory/course/smugglers-notch-fox-run,Smugglers Notch Disc Golf Center - Fox Run,Jeffersonville,Vermont,05464,18,,,79
/course-directory/course/mountain-top-inn-and-resort,Mountain Top Inn and Resort,Chittenden,Vermont,05737,9,,,79
/course-directory/course/bates-park,Bates Park,Angleton,Texas,77515,18,,,79
/course-directory/course/cornerstone-church-disc-golf-course,Cornerstone Church Disc Golf Course,Lake Jackson,Texas,77566,18,,,79
/course-directory/course/cuesta-disc-golf-hill-college,Cuesta Disc Golf at Hill College,Hillsboro,Texas,76645,18,3,,79
/course-directory/course/twin-ponds,Twin Ponds Campground,Peru,New York,12972,18,,,79
/course-directory/course/graham-park-0,Graham Park,Greenville,Texas,75401,9,,,79
/course-directory/course/hewitt-park,Hewitt Park,Hewitt,Texas,76643,18,,,79
/course-directory/course/hinsley-park,Hinsley Park,Longview,Texas,75605,18,,,79
/course-directory/course/husky-disc-golf-houston-baptist-university,Husky Disc Golf at Houston Baptist University,Houston,Texas,77074,9,,,79
/course-directory/course/iron-spike-greens-park,Iron Spike at Greens Park,Palestine,Texas,75803,9,4,,79
/course-directory/course/jim-ned-disc-golf-course,Jim Ned Disc Golf Course,Tuscola,Texas,79562,9,,,79
/course-directory/course/little-banita,Little Banita,Nacogdoches,Texas,75961,9,,,79
/course-directory/course/white-pines-park-disc-golf-course,White Pines Park Disc Golf Course,Arnold,California,95223,18,3,,79
/course-directory/course/lockhart-city-park,Lockhart City Park,Lockhart,Texas,78644,9,,,79
/course-directory/course/moffett-park,Moffett Park,Gainseville,Texas,76240,3,,,79
/course-directory/course/promise-land-west-disc-golf-course,Fedd Fairways at Life Austin Church,Austin,Texas,78735,9,3,,79
/course-directory/course/seabourne-creek-disc-golf-course,Seabourne Creek Disc Golf Course,Rosenberg,Texas,77471,9,4,,79
/course-directory/course/spillway-park,Spillway Park,Texarkana,Texas,75503,9,,,79
/course-directory/course/springtown-west-park,Springtown West Park,Springtown,Texas,76082,18,,,79
/course-directory/course/windlands-disc-golf-course,Windlands Disc Golf Course,Midland,Texas,79705,18,5,,79
/course-directory/course/lituanica-park,Lituanica Park,Beverly Shores,Indiana,46360,5,,,79
/course-directory/course/randolph-disc-golf-course,Randolph Disc Golf Course,Randolph,Kansas,66554,5,,,79
/course-directory/course/shawnee-country-club,Shawnee Country Club,Shawnee,Kansas,66226,4,,,79
/course-directory/course/university-maine,University of Maine,Orono,Maine,04469,3,,,79
/course-directory/course/corinth-reformed-church,Corinth Reformed Church,Byron Center,Michigan,49315,6,,,79
/course-directory/course/gargoyles-garden-disc-golf-course,Gargoyles Garden Disc Golf Course,Mountain View,Hawaii,96771,18,5,,79
/course-directory/course/oasis-disc-golf-course,Oasis Disc Golf Course,Cassadaga,New York,14718,9,,,79
/course-directory/course/weston-school-distict-disc-golf,Weston School District Disc Golf,Cazenovia,Wisconsin,53924,9,,,79
/course-directory/course/lindsay-memorial-disc-golf-course,Lindsay Memorial Disc Golf Course,Lindsay,Oklahoma,73052,9,,,79
/course-directory/course/martin-walworth-disc-golf-grace-presbyterian-church,Martin Walworth Disc Golf at Grace Presbyterian Church,Highlands Ranch,Colorado,80125,9,,,80
/course-directory/course/meadow-vale-campsites-disc-golf,Meadow-Vale Campsites Disc Golf,Mount Vision,New York,13810,18,,,80
/course-directory/course/dean-health-practice-area,Dean Health Practice Area,Madison,Wisconsin,53717,5,,,80
/course-directory/course/golden-eagle-disc-golf-course,Golden Eagle Disc Golf Course,Stockholm,Wisconsin,54769,9,,,80
/course-directory/course/marcom-woods,Marcom Woods,Morrisville,North Carolina,27560,9,,,80
